Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR
,3,2024-08-16,Man United,1,0,Fulham,H
,3,2024-08-17,Ipswich,0,2,Liverpool,A
,3,2024-08-17,Arsenal,2,0,Wolves,H
,3,2024-08-17,Everton,0,3,Brighton,A
,3,2024-08-17,Newcastle,1,0,Southampton,H
,3,2024-08-17,Nott'm Forest,1,1,Bournemouth,D
,3,2024-08-17,West Ham,1,2,Aston Villa,A
,3,2024-08-18,Brentford,2,1,Crystal Palace,H
,3,2024-08-18,Chelsea,0,2,Man City,A
,3,2024-08-19,Leicester,1,1,Tottenham,D
,4,2024-08-24,Aston Villa,0,2,Arsenal,A
,4,2024-08-24,Tottenham,4,0,Everton,H
,4,2024-08-24,Southampton,0,1,Nott'm Forest,A
,4,2024-08-24,Crystal Palace,0,2,West Ham,A
,4,2024-08-24,Fulham,2,1,Leicester,H
,4,2024-08-24,Brighton,2,1,Man United,H
,4,2024-08-24,Man City,4,1,Ipswich,H
,4,2024-08-25,Bournemouth,1,1,Newcastle,D
,4,2024-08-25,Wolves,2,6,Chelsea,A
,4,2024-08-25,Liverpool,2,0,Brentford,H
,5,2024-08-31,Nott'm Forest,1,1,Wolves,D
,5,2024-08-31,West Ham,1,3,Man City,A
,5,2024-08-31,Leicester,1,2,Aston Villa,A
,5,2024-08-31,Brentford,3,1,Southampton,H
,5,2024-08-31,Everton,2,3,Bournemouth,A
,5,2024-08-31,Arsenal,1,1,Brighton,D
,5,2024-08-31,Ipswich,1,1,Fulham,D
,5,2024-09-01,Chelsea,1,1,Crystal Palace,D
,5,2024-09-01,Newcastle,2,1,Tottenham,H
,5,2024-09-01,Man United,0,3,Liverpool,A
,7,2024-09-14,Bournemouth,0,1,Chelsea,A
,7,2024-09-14,Aston Villa,3,2,Everton,H
,7,2024-09-14,Man City,2,1,Brentford,H
,7,2024-09-14,Liverpool,0,1,Nott'm Forest,A
,7,2024-09-14,Fulham,1,1,West Ham,D
,7,2024-09-14,Brighton,0,0,Ipswich,D
,7,2024-09-14,Southampton,0,3,Man United,A
,7,2024-09-14,Crystal Palace,2,2,Leicester,D
,7,2024-09-15,Tottenham,0,1,Arsenal,A
,7,2024-09-15,Wolves,1,2,Newcastle,A
,8,2024-09-21,Southampton,1,1,Ipswich,D
,8,2024-09-21,Crystal Palace,0,0,Man United,D
